t,frame,ang,npts,res_c,res_l,dispara,marca_humana
16.601,373,85.1,113,3.56,1.75,0,0
16.641,374,83.7,113,3.56,1.62,0,0
16.682,375,75.2,117,3.66,2.15,0,0
16.721,376,83.9,113,3.56,1.49,0,0
16.761,377,85.0,113,3.56,1.71,0,0
16.803,378,74.8,117,3.66,2.25,0,0
16.841,379,84.3,113,3.56,1.61,0,0
16.883,380,83.9,113,3.56,1.49,0,0
16.921,381,83.8,113,3.56,1.21,0,0
16.961,382,74.3,117,3.66,2.22,0,0
17.003,383,84.3,113,3.56,1.61,0,0
17.041,384,74.5,117,3.66,2.24,0,0
17.081,385,84.0,113,3.56,1.53,0,0
17.122,386,83.8,113,3.56,1.25,0,0
17.162,387,84.9,113,3.56,1.40,0,0
17.201,388,85.1,113,3.56,1.75,0,0
17.242,389,83.3,113,3.56,1.25,0,0
17.281,390,83.5,113,3.56,1.55,0,0
17.322,391,75.1,117,3.66,2.36,0,0
17.361,392,83.4,113,3.56,1.24,0,0
17.404,393,83.9,113,3.56,1.49,0,0
17.443,394,84.1,113,3.56,1.56,0,0
17.482,395,83.3,113,3.56,1.29,0,0
17.520,396,83.1,113,3.56,1.25,0,0
17.561,397,85.1,113,3.56,1.75,0,0
17.602,398,74.6,117,3.66,2.03,0,0
17.641,399,83.3,113,3.56,1.25,0,0
17.681,400,74.3,117,3.66,2.22,0,0
17.723,401,84.1,113,3.56,1.52,0,0
17.761,402,83.8,113,3.56,1.21,0,0
17.801,403,84.8,113,3.56,1.46,0,0
17.845,404,75.2,117,3.66,2.15,0,0
17.881,405,83.8,113,3.56,1.20,0,0
17.921,406,84.9,113,3.56,1.42,0,0
17.962,407,84.9,113,3.56,1.42,0,0
18.001,408,83.4,113,3.56,1.28,0,0
18.041,409,84.1,113,3.56,1.52,0,0
18.081,410,84.1,113,3.56,1.52,0,0
18.121,411,83.8,113,3.56,1.25,0,0
18.162,412,85.1,113,3.56,1.69,0,0
18.201,413,83.4,113,3.56,1.24,0,0
18.241,414,83.6,113,3.56,1.22,0,0
18.283,415,83.8,113,3.56,1.21,0,0
18.321,416,83.8,113,3.56,1.21,0,0
18.363,417,83.6,113,3.56,1.53,0,0
18.404,418,83.4,113,3.56,1.24,0,0
18.441,419,84.9,113,3.56,1.40,0,0
18.483,420,83.8,113,3.56,1.21,0,0
18.521,421,83.5,113,3.56,1.55,0,0
18.565,422,83.3,113,3.56,1.25,0,0
18.601,423,83.2,114,3.56,1.29,0,0
18.641,424,83.5,114,3.56,1.23,0,0
18.683,425,84.9,113,3.56,1.41,0,0
18.721,426,84.0,113,3.56,1.53,0,0
18.761,427,74.5,117,3.66,2.01,0,0
18.803,428,84.4,113,3.56,1.46,0,0
18.841,429,83.9,113,3.56,1.20,0,0
18.881,430,82.2,114,3.58,1.31,0,0
18.921,431,83.8,113,3.56,1.21,0,0
18.963,432,83.8,113,3.56,1.21,0,0
19.001,433,74.3,117,3.66,2.19,0,0
19.044,434,84.9,113,3.56,1.42,0,0
19.081,435,74.5,117,3.66,2.24,0,0
19.123,436,83.4,113,3.56,1.36,0,0
19.161,437,85.2,113,3.56,1.74,0,0
19.201,438,84.0,113,3.56,1.53,0,0
19.244,439,83.8,113,3.56,1.20,0,0
19.281,440,75.1,117,3.66,2.39,0,0
19.321,441,84.1,113,3.56,1.64,0,0
19.362,442,84.0,113,3.57,1.53,0,0
19.402,443,75.0,117,3.66,2.34,0,0
19.442,444,83.9,113,3.56,1.49,0,0
19.481,445,85.0,113,3.56,1.39,0,0
19.521,446,83.4,113,3.56,1.24,0,0
19.562,447,83.7,113,3.56,1.51,0,0
19.601,448,83.8,113,3.56,1.21,0,0
19.641,449,83.8,113,3.56,1.21,0,0
19.681,450,84.1,113,3.56,1.52,0,0
19.723,451,83.8,113,3.56,1.21,0,0
19.761,452,83.8,113,3.56,1.21,0,0
19.801,453,83.8,113,3.56,1.21,0,0
19.841,454,84.4,113,3.56,1.46,0,0
19.882,455,83.8,113,3.56,1.21,0,0
19.921,456,83.4,113,3.56,1.24,0,0
19.962,457,84.2,113,3.56,1.46,0,0
20.001,458,74.3,117,3.66,2.22,0,0
20.041,459,84.0,113,3.57,1.53,0,0
20.081,460,83.9,113,3.56,1.24,0,0
20.122,461,83.8,113,3.56,1.21,0,0
20.163,462,84.6,113,3.56,1.44,0,0
20.201,463,84.9,113,3.56,1.41,0,0
20.241,464,84.3,113,3.56,1.61,0,0
20.281,465,83.4,113,3.56,1.50,0,0
20.323,466,83.8,113,3.56,1.21,0,0
20.362,467,84.9,113,3.56,1.42,0,0
20.406,468,74.3,117,3.66,2.22,0,0
20.441,469,83.4,113,3.56,1.36,0,0
20.481,470,83.9,113,3.56,1.49,0,0
20.523,471,84.0,113,3.56,1.47,0,0
20.561,472,74.4,117,3.66,2.03,0,0
20.602,473,74.3,117,3.66,2.22,0,0
20.642,474,83.3,113,3.56,1.23,0,0
20.682,475,85.2,113,3.56,1.74,0,0
20.721,476,83.9,113,3.56,1.18,0,0
20.763,477,84.9,113,3.56,1.41,0,0
20.801,478,83.8,113,3.56,1.21,0,0
20.843,479,84.6,113,3.56,1.44,0,0
20.881,480,83.4,113,3.56,1.24,0,0
20.921,481,84.5,113,3.56,1.45,0,0
20.963,482,83.8,113,3.56,1.25,0,0
21.001,483,84.0,113,3.56,1.47,0,0
21.042,484,83.8,113,3.56,1.21,0,0
21.085,485,85.1,113,3.56,1.75,0,0
21.121,486,85.2,113,3.56,1.74,0,0
21.161,487,83.9,113,3.56,1.20,0,0
21.203,488,83.9,113,3.56,1.20,0,0
21.242,489,84.0,113,3.56,1.53,0,0
21.282,490,83.6,113,3.56,1.53,0,0
21.323,491,85.9,113,3.56,1.83,0,0
21.362,492,74.6,117,3.66,2.06,0,0
21.406,493,84.9,113,3.56,1.42,0,0
21.442,494,75.1,117,3.66,2.17,0,0
21.481,495,74.6,117,3.66,2.03,0,0
21.520,496,83.8,113,3.56,1.21,0,0
21.562,497,85.2,113,3.56,1.74,0,0
21.601,498,83.9,113,3.56,1.20,0,0
21.643,499,85.1,113,3.56,1.75,0,0
21.684,500,75.0,117,3.66,2.31,0,0
21.722,501,85.0,113,3.56,1.71,0,0
21.761,502,83.9,113,3.56,1.49,0,0
21.802,503,75.0,117,3.66,2.34,0,0
21.844,504,83.6,113,3.56,1.53,0,0
21.882,505,74.6,117,3.66,2.06,0,0
21.922,506,82.0,113,3.56,1.57,0,0
21.964,507,83.9,113,3.56,1.49,0,0
22.002,508,83.8,113,3.56,1.21,0,0
22.041,509,84.0,113,3.56,1.53,0,0
22.081,510,84.5,113,3.56,1.72,0,0
22.123,511,83.8,113,3.56,1.21,0,0
22.161,512,85.2,113,3.56,1.74,0,0
22.201,513,83.5,114,3.56,1.50,0,0
22.242,514,84.0,113,3.56,1.53,0,0
22.282,515,84.1,113,3.56,1.52,0,0
22.323,516,84.5,113,3.56,1.45,0,0
22.362,517,85.0,113,3.56,1.71,0,0
22.406,518,84.9,113,3.56,1.45,0,0
22.444,519,84.1,113,3.56,1.52,0,0
22.482,520,85.1,113,3.56,1.75,0,0
22.520,521,84.0,113,3.56,1.47,0,0
22.562,522,83.4,114,3.56,1.24,0,0
22.602,523,74.6,117,3.66,2.03,0,0
22.642,524,83.8,113,3.56,1.25,0,0
22.685,525,83.3,113,3.56,1.29,0,0
22.722,526,74.6,117,3.66,2.02,0,0
22.762,527,83.4,113,3.56,1.50,0,0
22.802,528,83.4,114,3.56,1.24,0,0
22.843,529,83.5,113,3.56,1.49,0,0
22.882,530,84.0,113,3.56,1.53,0,0
22.921,531,85.1,113,3.56,1.75,0,0
22.965,532,83.9,113,3.56,1.20,0,0
23.002,533,84.6,113,3.56,1.77,0,0
23.042,534,84.9,113,3.56,1.41,0,0
23.082,535,84.9,113,3.56,1.42,0,0
23.122,536,84.0,113,3.56,1.53,0,0
23.163,537,84.9,113,3.56,1.42,0,0
23.205,538,84.5,113,3.56,1.49,0,0
23.242,539,84.9,113,3.56,1.42,0,0
23.284,540,84.9,113,3.56,1.87,0,0
23.322,541,74.6,117,3.66,2.03,0,0
23.363,542,84.0,113,3.56,1.53,0,0
23.405,543,85.1,113,3.56,1.75,0,0
23.445,544,83.9,113,3.56,1.24,0,0
23.482,545,83.9,113,3.56,1.20,0,0
23.521,546,84.0,113,3.56,1.53,0,0
23.561,547,74.5,117,3.66,2.01,0,0
23.602,548,84.0,113,3.56,1.53,0,0
23.645,549,75.0,117,3.66,2.34,0,0
23.682,550,83.5,113,3.56,1.55,0,0
23.722,551,84.4,113,3.56,1.46,0,0
23.762,552,74.6,117,3.66,2.06,0,0
23.802,553,83.8,113,3.56,1.21,0,0
23.842,554,84.9,113,3.56,1.41,0,0
23.883,555,85.1,113,3.56,1.75,0,0
23.923,556,75.2,117,3.66,2.42,0,0
23.962,557,85.1,113,3.56,1.69,0,0
24.003,558,74.3,117,3.66,2.22,0,0
24.045,559,84.9,113,3.56,1.42,0,0
24.082,560,83.8,113,3.56,1.21,0,0
24.122,561,85.1,113,3.56,1.75,0,0
24.162,562,75.2,117,3.66,2.15,0,0
24.204,563,84.0,113,3.56,1.53,0,0
24.242,564,84.0,113,3.56,1.53,0,0
24.282,565,85.5,113,3.56,1.82,0,0
24.322,566,84.9,113,3.56,1.42,0,0
24.363,567,83.5,113,3.56,1.55,0,0
24.405,568,84.0,113,3.56,1.47,0,0
24.444,569,83.8,113,3.56,1.20,0,0
24.482,570,83.3,113,3.56,1.25,0,0
24.524,571,83.8,113,3.56,1.21,0,0
24.567,572,84.0,113,3.56,1.47,0,0
24.608,573,84.6,113,3.56,1.71,0,0
24.650,574,85.4,113,3.56,1.84,0,0
24.685,575,74.5,117,3.66,2.24,0,0
24.722,576,84.9,113,3.56,1.41,0,0
24.765,577,83.8,113,3.56,1.25,0,0
